Squad,Week,Home,Away,Player,Time
Southampton,16,Newcastle Utd,Southampton,Danny Ings,52
Norwich City,16,Norwich City,Sheffield Utd,Alexander Tettey,27
Sheffield Utd,16,Norwich City,Sheffield Utd,Enda Stevens,49
Sheffield Utd,16,Norwich City,Sheffield Utd,George Baldock,52
Tottenham,16,Tottenham,Burnley,Harry Kane,4
Tottenham,16,Tottenham,Burnley,Lucas Moura,9
Tottenham,16,Tottenham,Burnley,Son Heung-min,32
Tottenham,16,Tottenham,Burnley,Harry Kane,54
Tottenham,16,Tottenham,Burnley,Moussa Sissoko,74
West Ham,16,West Ham,Arsenal,Angelo Ogbonna,38
Arsenal,16,West Ham,Arsenal,Martinelli,60
Arsenal,16,West Ham,Arsenal,Nicolas Pépé,66
Arsenal,16,West Ham,Arsenal,Pierre-Emerick Aubameyang,69
Manchester City,17,Arsenal,Manchester City,Kevin De Bruyne,2
Manchester City,17,Arsenal,Manchester City,Raheem Sterling,15
Manchester City,17,Arsenal,Manchester City,Kevin De Bruyne,40
Burnley,17,Burnley,Newcastle Utd,Chris Wood,58
Bournemouth,17,Chelsea,Bournemouth,Dan Gosling,84
Crystal Palace,17,Crystal Palace,Brighton,Wilfried Zaha,76
Brighton,17,Crystal Palace,Brighton,Neal Maupay,54
Leicester City,17,Leicester City,Norwich City,Tim Krul (OG),38
Norwich City,17,Leicester City,Norwich City,Teemu Pukki,26
Liverpool,17,Liverpool,Watford,Mohamed Salah,38
Liverpool,17,Liverpool,Watford,Mohamed Salah,90
Manchester Utd,17,Manchester Utd,Everton,Mason Greenwood,77
Everton,17,Manchester Utd,Everton,Victor Lindelöf (OG),36
Sheffield Utd,17,Sheffield Utd,Aston Villa,John Fleck,50
Sheffield Utd,17,Sheffield Utd,Aston Villa,John Fleck,73
West Ham,17,Southampton,West Ham,Sébastien Haller,37
Wolves,17,Wolves,Tottenham,Adama Traoré,67
Tottenham,17,Wolves,Tottenham,Lucas Moura,8
Tottenham,17,Wolves,Tottenham,Jan Vertonghen,90+1
Aston Villa,18,Aston Villa,Southampton,Jack Grealish,75
Southampton,18,Aston Villa,Southampton,Danny Ings,21
Southampton,18,Aston Villa,Southampton,Jack Stephens,31
Southampton,18,Aston Villa,Southampton,Danny Ings,51
Burnley,18,Bournemouth,Burnley,Jay Rodriguez,89
Sheffield Utd,18,Brighton,Sheffield Utd,Oliver McBurnie,23
Manchester City,18,Manchester City,Leicester City,Riyad Mahrez,30
Manchester City,18,Manchester City,Leicester City,İlkay Gündoğan (P),43
Manchester City,18,Manchester City,Leicester City,Gabriel Jesus,69
Leicester City,18,Manchester City,Leicester City,Jamie Vardy,22
Newcastle Utd,18,Newcastle Utd,Crystal Palace,Miguel Almirón,83
Norwich City,18,Norwich City,Wolves,Todd Cantwell,17
Wolves,18,Norwich City,Wolves,Romain Saïss,60
Wolves,18,Norwich City,Wolves,Raúl Jiménez,81
Chelsea,18,Tottenham,Chelsea,Willian,12
Chelsea,18,Tottenham,Chelsea,Willian (P),45+4
Watford,18,Watford,Manchester Utd,Ismaila Sarr,50
Watford,18,Watford,Manchester Utd,Troy Deeney (P),54
Liverpool,18,West Ham,Liverpool,Mohamed Salah (P),35
Liverpool,18,West Ham,Liverpool,Alex Oxlade-Chamberlain,52
Aston Villa,19,Aston Villa,Norwich City,Conor Hourihane,64
Bournemouth,19,Bournemouth,Arsenal,Dan Gosling,35
Arsenal,19,Bournemouth,Arsenal,Pierre-Emerick Aubameyang,63
Southampton,19,Chelsea,Southampton,Michael Obafemi,31
Southampton,19,Chelsea,Southampton,Nathan Redmond,73
Crystal Palace,19,Crystal Palace,West Ham,Cheikhou Kouyaté,68
Crystal Palace,19,Crystal Palace,West Ham,Jordan Ayew,90
West Ham,19,Crystal Palace,West Ham,Robert Snodgrass,57
Everton,19,Everton,Burnley,Dominic Calvert-Lewin,80
Liverpool,19,Leicester City,Liverpool,Roberto Firmino,31
Liverpool,19,Leicester City,Liverpool,James Milner (P),71
Liverpool,19,Leicester City,Liverpool,Roberto Firmino,74
Liverpool,19,Leicester City,Liverpool,Trent Alexander-Arnold,78
Manchester Utd,19,Manchester Utd,Newcastle Utd,Anthony Martial,24
Manchester Utd,19,Manchester Utd,Newcastle Utd,Mason Greenwood,36
Manchester Utd,19,Manchester Utd,Newcastle Utd,Marcus Rashford,41
Manchester Utd,19,Manchester Utd,Newcastle Utd,Anthony Martial,51
Newcastle Utd,19,Manchester Utd,Newcastle Utd,Matthew Longstaff,17
Sheffield Utd,19,Sheffield Utd,Watford,Oliver Norwood (P),36
Watford,19,Sheffield Utd,Watford,Gerard Deulofeu,27
Tottenham,19,Tottenham,Brighton,Harry Kane,53
Tottenham,19,Tottenham,Brighton,Dele Alli,72
Brighton,19,Tottenham,Brighton,Adam Webster,37
Wolves,19,Wolves,Manchester City,Adama Traoré,55
Wolves,19,Wolves,Manchester City,Raúl Jiménez,82
Wolves,19,Wolves,Manchester City,Matt Doherty,89
Manchester City,19,Wolves,Manchester City,Raheem Sterling,25
Manchester City,19,Wolves,Manchester City,Raheem Sterling,50
Arsenal,20,Arsenal,Chelsea,Pierre-Emerick Aubameyang,13
Chelsea,20,Arsenal,Chelsea,Jorginho,83
Chelsea,20,Arsenal,Chelsea,Tammy Abraham,87
Brighton,20,Brighton,Bournemouth,Alireza Jahanbakhsh,3
Brighton,20,Brighton,Bournemouth,Aaron Mooy,79
Manchester Utd,20,Burnley,Manchester Utd,Anthony Martial,44
Manchester Utd,20,Burnley,Manchester Utd,Marcus Rashford,90+5
Liverpool,20,Liverpool,Wolves,Sadio Mané,42
Manchester City,20,Manchester City,Sheffield Utd,Sergio Agüero,52
Manchester City,20,Manchester City,Sheffield Utd,Kevin De Bruyne,82
Newcastle Utd,20,Newcastle Utd,Everton,Fabian Schär,56
Everton,20,Newcastle Utd,Everton,Dominic Calvert-Lewin,13
Everton,20,Newcastle Utd,Everton,Dominic Calvert-Lewin,64
Norwich City,20,Norwich City,Tottenham,Mario Vrančić,18
Norwich City,20,Norwich City,Tottenham,Serge Aurier (OG),61
Tottenham,20,Norwich City,Tottenham,Christian Eriksen,55
Tottenham,20,Norwich City,Tottenham,Harry Kane (P),83
Southampton,20,Southampton,Crystal Palace,Danny Ings,74
Crystal Palace,20,Southampton,Crystal Palace,James Tomkins,50
Watford,20,Watford,Aston Villa,Troy Deeney,42
Watford,20,Watford,Aston Villa,Troy Deeney (P),67
Watford,20,Watford,Aston Villa,Ismaila Sarr,71
West Ham,20,West Ham,Leicester City,Pablo Fornals,45
Leicester City,20,West Ham,Leicester City,Kelechi Iheanacho,40
Leicester City,20,West Ham,Leicester City,Demarai Gray,56
Arsenal,21,Arsenal,Manchester Utd,Nicolas Pépé,8
Arsenal,21,Arsenal,Manchester Utd,Sokratis Papastathopoulos,42
Brighton,21,Brighton,Chelsea,Alireza Jahanbakhsh,84
Chelsea,21,Brighton,Chelsea,César Azpilicueta,10
Burnley,21,Burnley,Aston Villa,Chris Wood,80
Aston Villa,21,Burnley,Aston Villa,Wesley Moraes,27
Aston Villa,21,Burnley,Aston Villa,Jack Grealish,41
Liverpool,21,Liverpool,Sheffield Utd,Mohamed Salah,4
Liverpool,21,Liverpool,Sheffield Utd,Sadio Mané,64
Manchester City,21,Manchester City,Everton,Gabriel Jesus,51
Manchester City,21,Manchester City,Everton,Gabriel Jesus,58
Everton,21,Manchester City,Everton,Richarlison,71
Leicester City,21,Newcastle Utd,Leicester City,Ayoze Pérez,36
Leicester City,21,Newcastle Utd,Leicester City,James Maddison,39
Leicester City,21,Newcastle Utd,Leicester City,Hamza Choudhury,87
Norwich City,21,Norwich City,Crystal Palace,Todd Cantwell,4
Crystal Palace,21,Norwich City,Crystal Palace,Connor Wickham,85
Southampton,21,Southampton,Tottenham,Danny Ings,17
Watford,21,Watford,Wolves,Gerard Deulofeu,30
Watford,21,Watford,Wolves,Abdoulaye Doucouré,49
Wolves,21,Watford,Wolves,Pedro Neto,60
West Ham,21,West Ham,Bournemouth,Mark Noble,17
West Ham,21,West Ham,Bournemouth,Sébastien Haller,25
West Ham,21,West Ham,Bournemouth,Mark Noble (P),35
West Ham,21,West Ham,Bournemouth,Felipe Anderson,66
Aston Villa,22,Aston Villa,Manchester City,Anwar El Ghazi (P),90+1
Manchester City,22,Aston Villa,Manchester City,Riyad Mahrez,18
Manchester City,22,Aston Villa,Manchester City,Riyad Mahrez,24
Manchester City,22,Aston Villa,Manchester City,Sergio Agüero,28
Manchester City,22,Aston Villa,Manchester City,Gabriel Jesus,45+1
Manchester City,22,Aston Villa,Manchester City,Sergio Agüero,57
Manchester City,22,Aston Villa,Manchester City,Sergio Agüero,81
Watford,22,Bournemouth,Watford,Abdoulaye Doucouré,42
Watford,22,Bournemouth,Watford,Troy Deeney,65
Watford,22,Bournemouth,Watford,Roberto Pereyra,90+2
Chelsea,22,Chelsea,Burnley,Jorginho (P),27
Chelsea,22,Chelsea,Burnley,Tammy Abraham,38
Chelsea,22,Chelsea,Burnley,Callum Hudson-Odoi,49
Crystal Palace,22,Crystal Palace,Arsenal,Jordan Ayew,54
Arsenal,22,Crystal Palace,Arsenal,Pierre-Emerick Aubameyang,12
Everton,22,Everton,Brighton,Richarlison,38
Leicester City,22,Leicester City,Southampton,Dennis Praet,14
Southampton,22,Leicester City,Southampton,Stuart Armstrong,19
Southampton,22,Leicester City,Southampton,Danny Ings,81
Manchester Utd,22,Manchester Utd,Norwich City,Marcus Rashford,27
Manchester Utd,22,Manchester Utd,Norwich City,Marcus Rashford (P),52
Manchester Utd,22,Manchester Utd,Norwich City,Anthony Martial,54
Manchester Utd,22,Manchester Utd,Norwich City,Mason Greenwood,76
Sheffield Utd,22,Sheffield Utd,West Ham,Oliver McBurnie,53
Liverpool,22,Tottenham,Liverpool,Roberto Firmino,37
Wolves,22,Wolves,Newcastle Utd,Leander Dendoncker,14
Newcastle Utd,22,Wolves,Newcastle Utd,Miguel Almirón,7
Arsenal,23,Arsenal,Sheffield Utd,Martinelli,45
Sheffield Utd,23,Arsenal,Sheffield Utd,John Fleck,83
Brighton,23,Brighton,Aston Villa,Leandro Trossard,38
Aston Villa,23,Brighton,Aston Villa,Jack Grealish,75
Burnley,23,Burnley,Leicester City,Chris Wood,56
Burnley,23,Burnley,Leicester City,Ashley Westwood,79
Leicester City,23,Burnley,Leicester City,Harvey Barnes,33
Liverpool,23,Liverpool,Manchester Utd,Virgil van Dijk,14
Liverpool,23,Liverpool,Manchester Utd,Mohamed Salah,90+3
Manchester City,23,Manchester City,Crystal Palace,Sergio Agüero,82
Manchester City,23,Manchester City,Crystal Palace,Sergio Agüero,87
Crystal Palace,23,Manchester City,Crystal Palace,Cenk Tosun,39
Crystal Palace,23,Manchester City,Crystal Palace,Fernandinho (OG),90
Newcastle Utd,23,Newcastle Utd,Chelsea,Isaac Hayden,90+4
Norwich City,23,Norwich City,Bournemouth,Teemu Pukki (P),33
Southampton,23,Southampton,Wolves,Jan Bednarek,15
Southampton,23,Southampton,Wolves,Shane Long,35
Wolves,23,Southampton,Wolves,Pedro Neto,53
Wolves,23,Southampton,Wolves,Raúl Jiménez (P),65
Wolves,23,Southampton,Wolves,Raúl Jiménez,76
West Ham,23,West Ham,Everton,Issa Diop,40
Everton,23,West Ham,Everton,Dominic Calvert-Lewin,44
Aston Villa,24,Aston Villa,Watford,Douglas Luiz,68
Aston Villa,24,Aston Villa,Watford,Tyrone Mings,90+5
Watford,24,Aston Villa,Watford,Troy Deeney,38
Bournemouth,24,Bournemouth,Brighton,Harry Wilson,36
Bournemouth,24,Bournemouth,Brighton,Pascal Groß (OG),41
Bournemouth,24,Bournemouth,Brighton,Callum Wilson,74
Brighton,24,Bournemouth,Brighton,Aaron Mooy,81
Chelsea,24,Chelsea,Arsenal,Jorginho (P),28
Chelsea,24,Chelsea,Arsenal,César Azpilicueta,84
Arsenal,24,Chelsea,Arsenal,Martinelli,63
Arsenal,24,Chelsea,Arsenal,Héctor Bellerín,87
Southampton,24,Crystal Palace,Southampton,Nathan Redmond,22
Southampton,24,Crystal Palace,Southampton,Stuart Armstrong,48
Everton,24,Everton,Newcastle Utd,Moise Kean,30
Everton,24,Everton,Newcastle Utd,Dominic Calvert-Lewin,54
Newcastle Utd,24,Everton,Newcastle Utd,Florian Lejeune,90+4
Newcastle Utd,24,Everton,Newcastle Utd,Florian Lejeune,90+5
Leicester City,24,Leicester City,West Ham,Harvey Barnes,24
Leicester City,24,Leicester City,West Ham,Ricardo Pereira,45+5
Leicester City,24,Leicester City,West Ham,Ayoze Pérez (P),81
Leicester City,24,Leicester City,West Ham,Ayoze Pérez,88
West Ham,24,Leicester City,West Ham,Mark Noble (P),50
Burnley,24,Manchester Utd,Burnley,Chris Wood,39
Burnley,24,Manchester Utd,Burnley,Jay Rodriguez,56
Manchester City,24,Sheffield Utd,Manchester City,Sergio Agüero,73
Tottenham,24,Tottenham,Norwich City,Dele Alli,38
Tottenham,24,Tottenham,Norwich City,Son Heung-min,79
Norwich City,24,Tottenham,Norwich City,Teemu Pukki (P),70
Wolves,24,Wolves,Liverpool,Raúl Jiménez,51
Liverpool,24,Wolves,Liverpool,Jordan Henderson,8
Liverpool,24,Wolves,Liverpool,Roberto Firmino,84
Bournemouth,25,Bournemouth,Aston Villa,Philip Billing,37
Bournemouth,25,Bournemouth,Aston Villa,Nathan Aké,44
Aston Villa,25,Bournemouth,Aston Villa,Mbwana Samatta,70
Sheffield Utd,25,Crystal Palace,Sheffield Utd,Vicente Guaita (OG),58
Leicester City,25,Leicester City,Chelsea,Harvey Barnes,54
Leicester City,25,Leicester City,Chelsea,Ben Chilwell,64
Chelsea,25,Leicester City,Chelsea,Antonio Rüdiger,46
Chelsea,25,Leicester City,Chelsea,Antonio Rüdiger,71
Liverpool,25,Liverpool,Southampton,Alex Oxlade-Chamberlain,47
Liverpool,25,Liverpool,Southampton,Jordan Henderson,60
Liverpool,25,Liverpool,Southampton,Mohamed Salah,71
Liverpool,25,Liverpool,Southampton,Mohamed Salah,90
Tottenham,25,Tottenham,Manchester City,Steven Bergwijn,63
Tottenham,25,Tottenham,Manchester City,Son Heung-min,71
Watford,25,Watford,Everton,Adam Masina,10
Watford,25,Watford,Everton,Roberto Pereyra,42
Everton,25,Watford,Everton,Yerry Mina,45+1
Everton,25,Watford,Everton,Yerry Mina,45+4
Everton,25,Watford,Everton,Theo Walcott,90
West Ham,25,West Ham,Brighton,Issa Diop,30
West Ham,25,West Ham,Brighton,Robert Snodgrass,45
West Ham,25,West Ham,Brighton,Robert Snodgrass,57
Brighton,25,West Ham,Brighton,Angelo Ogbonna (OG),47
Brighton,25,West Ham,Brighton,Pascal Groß,75
Brighton,25,West Ham,Brighton,Glenn Murray,79
Arsenal,26,Arsenal,Newcastle Utd,Pierre-Emerick Aubameyang,54
Arsenal,26,Arsenal,Newcastle Utd,Nicolas Pépé,57
Arsenal,26,Arsenal,Newcastle Utd,Mesut Özil,90
Arsenal,26,Arsenal,Newcastle Utd,Alexandre Lacazette,90+5
Aston Villa,26,Aston Villa,Tottenham,Toby Alderweireld (OG),9
Aston Villa,26,Aston Villa,Tottenham,Björn Engels,53
Tottenham,26,Aston Villa,Tottenham,Toby Alderweireld,27
Tottenham,26,Aston Villa,Tottenham,Son Heung-min,45+2
Tottenham,26,Aston Villa,Tottenham,Son Heung-min,90+4
Brighton,26,Brighton,Watford,Adrian Mariappa (OG),78
Watford,26,Brighton,Watford,Abdoulaye Doucouré,19
Manchester Utd,26,Chelsea,Manchester Utd,Anthony Martial,45
Manchester Utd,26,Chelsea,Manchester Utd,Harry Maguire,66
Everton,26,Everton,Crystal Palace,Bernard,18
Everton,26,Everton,Crystal Palace,Richarlison,58
Everton,26,Everton,Crystal Palace,Dominic Calvert-Lewin,88
Crystal Palace,26,Everton,Crystal Palace,Christian Benteke,51
Manchester City,26,Manchester City,West Ham,Rodri,30
Manchester City,26,Manchester City,West Ham,Kevin De Bruyne,62
Liverpool,26,Norwich City,Liverpool,Sadio Mané,78
Sheffield Utd,26,Sheffield Utd,Bournemouth,Billy Sharp,45+2
Sheffield Utd,26,Sheffield Utd,Bournemouth,John Lundstram,84
Bournemouth,26,Sheffield Utd,Bournemouth,Callum Wilson,13
Southampton,26,Southampton,Burnley,Danny Ings,18
Burnley,26,Southampton,Burnley,Ashley Westwood,2
Burnley,26,Southampton,Burnley,Matěj Vydra,60
Arsenal,27,Arsenal,Everton,Eddie Nketiah,27
Arsenal,27,Arsenal,Everton,Pierre-Emerick Aubameyang,33
Arsenal,27,Arsenal,Everton,Pierre-Emerick Aubameyang,46
Everton,27,Arsenal,Everton,Dominic Calvert-Lewin,1
Everton,27,Arsenal,Everton,Richarlison,45+4
Burnley,27,Burnley,Bournemouth,Matěj Vydra,53
Burnley,27,Burnley,Bournemouth,Jay Rodriguez (P),61
Burnley,27,Burnley,Bournemouth,Dwight McNeil,87
Chelsea,27,Chelsea,Tottenham,Olivier Giroud,15
Chelsea,27,Chelsea,Tottenham,Marcos Alonso,48
Tottenham,27,Chelsea,Tottenham,Antonio Rüdiger (OG),89
Crystal Palace,27,Crystal Palace,Newcastle Utd,Patrick van Aanholt,44
Manchester City,27,Leicester City,Manchester City,Gabriel Jesus,80
Liverpool,27,Liverpool,West Ham,Georginio Wijnaldum,9
Liverpool,27,Liverpool,West Ham,Mohamed Salah,68
Liverpool,27,Liverpool,West Ham,Sadio Mané,81
West Ham,27,Liverpool,West Ham,Issa Diop,12
West Ham,27,Liverpool,West Ham,Pablo Fornals,54
Manchester Utd,27,Manchester Utd,Watford,Bruno Fernandes (P),42
Manchester Utd,27,Manchester Utd,Watford,Anthony Martial,58
Manchester Utd,27,Manchester Utd,Watford,Mason Greenwood,75
Sheffield Utd,27,Sheffield Utd,Brighton,Enda Stevens,26
Brighton,27,Sheffield Utd,Brighton,Neal Maupay,30
Southampton,27,Southampton,Aston Villa,Shane Long,8
Southampton,27,Southampton,Aston Villa,Stuart Armstrong,90+5
Wolves,27,Wolves,Norwich City,Diogo Jota,19
Wolves,27,Wolves,Norwich City,Diogo Jota,30
Wolves,27,Wolves,Norwich City,Raúl Jiménez,50
Bournemouth,28,Bournemouth,Chelsea,Jefferson Lerma,54
Bournemouth,28,Bournemouth,Chelsea,Joshua King,57
Chelsea,28,Bournemouth,Chelsea,Marcos Alonso,33
Chelsea,28,Bournemouth,Chelsea,Marcos Alonso,85
Crystal Palace,28,Brighton,Crystal Palace,Jordan Ayew,70
Everton,28,Everton,Manchester Utd,Dominic Calvert-Lewin,3
Manchester Utd,28,Everton,Manchester Utd,Bruno Fernandes,31
Manchester City,28,Manchester City,Arsenal,Raheem Sterling,45+2
Manchester City,28,Manchester City,Arsenal,Kevin De Bruyne (P),51
Manchester City,28,Manchester City,Arsenal,Phil Foden,90+1
Norwich City,28,Norwich City,Leicester City,Jamal Lewis,70
Tottenham,28,Tottenham,Wolves,Steven Bergwijn,13
Tottenham,28,Tottenham,Wolves,Serge Aurier,45
Wolves,28,Tottenham,Wolves,Matt Doherty,27
Wolves,28,Tottenham,Wolves,Diogo Jota,57
Wolves,28,Tottenham,Wolves,Raúl Jiménez,73
Watford,28,Watford,Liverpool,Ismaila Sarr,54
Watford,28,Watford,Liverpool,Ismaila Sarr,60
Watford,28,Watford,Liverpool,Troy Deeney,72
West Ham,28,West Ham,Southampton,Jarrod Bowen,15
West Ham,28,West Ham,Southampton,Sébastien Haller,40
West Ham,28,West Ham,Southampton,Michail Antonio,54
Southampton,28,West Ham,Southampton,Michael Obafemi,31
Arsenal,29,Arsenal,West Ham,Alexandre Lacazette,78
Burnley,29,Burnley,Tottenham,Chris Wood,13
Tottenham,29,Burnley,Tottenham,Dele Alli (P),50
Chelsea,29,Chelsea,Everton,Mason Mount,14
Chelsea,29,Chelsea,Everton,Pedro,21
Chelsea,29,Chelsea,Everton,Willian,51
Chelsea,29,Chelsea,Everton,Olivier Giroud,54
Crystal Palace,29,Crystal Palace,Watford,Jordan Ayew,28
Leicester City,29,Leicester City,Aston Villa,Harvey Barnes,40
Leicester City,29,Leicester City,Aston Villa,Jamie Vardy (P),63
Leicester City,29,Leicester City,Aston Villa,Jamie Vardy,79
Leicester City,29,Leicester City,Aston Villa,Harvey Barnes,85
Liverpool,29,Liverpool,Bournemouth,Mohamed Salah,25
Liverpool,29,Liverpool,Bournemouth,Sadio Mané,33
Bournemouth,29,Liverpool,Bournemouth,Callum Wilson,9
Manchester Utd,29,Manchester Utd,Manchester City,Anthony Martial,30
Manchester Utd,29,Manchester Utd,Manchester City,Scott McTominay,90+6
Sheffield Utd,29,Sheffield Utd,Norwich City,Billy Sharp,36
Newcastle Utd,29,Southampton,Newcastle Utd,Allan Saint-Maximin,79
Aston Villa,30,Aston Villa,Chelsea,Kortney Hause,43
Chelsea,30,Aston Villa,Chelsea,Christian Pulisic,60
Chelsea,30,Aston Villa,Chelsea,Olivier Giroud,62
Crystal Palace,30,Bournemouth,Crystal Palace,Luka Milivojević,12
Crystal Palace,30,Bournemouth,Crystal Palace,Jordan Ayew,23
Brighton,30,Brighton,Arsenal,Lewis Dunk,75
Brighton,30,Brighton,Arsenal,Neal Maupay,90+5
Arsenal,30,Brighton,Arsenal,Nicolas Pépé,68
Manchester City,30,Manchester City,Burnley,Phil Foden,22
Manchester City,30,Manchester City,Burnley,Riyad Mahrez,43
Manchester City,30,Manchester City,Burnley,Riyad Mahrez (P),45+3
Manchester City,30,Manchester City,Burnley,David Silva,51
Manchester City,30,Manchester City,Burnley,Phil Foden,63
Newcastle Utd,30,Newcastle Utd,Sheffield Utd,Allan Saint-Maximin,55
Newcastle Utd,30,Newcastle Utd,Sheffield Utd,Matt Ritchie,69
Newcastle Utd,30,Newcastle Utd,Sheffield Utd,Joelinton,78
Southampton,30,Norwich City,Southampton,Danny Ings,49
Southampton,30,Norwich City,Southampton,Stuart Armstrong,54
Southampton,30,Norwich City,Southampton,Nathan Redmond,79
Tottenham,30,Tottenham,Manchester Utd,Steven Bergwijn,27
Manchester Utd,30,Tottenham,Manchester Utd,Bruno Fernandes (P),81
Watford,30,Watford,Leicester City,Craig Dawson,90+3
Leicester City,30,Watford,Leicester City,Ben Chilwell,90
Wolves,30,West Ham,Wolves,Raúl Jiménez,73
Wolves,30,West Ham,Wolves,Pedro Neto,84
Burnley,31,Burnley,Watford,Jay Rodriguez,73
Chelsea,31,Chelsea,Manchester City,Christian Pulisic,36
Chelsea,31,Chelsea,Manchester City,Willian (P),78
Manchester City,31,Chelsea,Manchester City,Kevin De Bruyne,55
Liverpool,31,Liverpool,Crystal Palace,Trent Alexander-Arnold,23
Liverpool,31,Liverpool,Crystal Palace,Mohamed Salah,44
Liverpool,31,Liverpool,Crystal Palace,Fabinho,55
Liverpool,31,Liverpool,Crystal Palace,Sadio Mané,69
Manchester Utd,31,Manchester Utd,Sheffield Utd,Anthony Martial,7
Manchester Utd,31,Manchester Utd,Sheffield Utd,Anthony Martial,44
Manchester Utd,31,Manchester Utd,Sheffield Utd,Anthony Martial,74
Newcastle Utd,31,Newcastle Utd,Aston Villa,Dwight Gayle,68
Aston Villa,31,Newcastle Utd,Aston Villa,Ahmed Elmohamady,83
Everton,31,Norwich City,Everton,Michael Keane,55
Arsenal,31,Southampton,Arsenal,Eddie Nketiah,20
Arsenal,31,Southampton,Arsenal,Joe Willock,86
Tottenham,31,Tottenham,West Ham,Tomáš Souček (OG),64
Tottenham,31,Tottenham,West Ham,Harry Kane,82
Wolves,31,Wolves,Bournemouth,Raúl Jiménez,60
Arsenal,32,Arsenal,Norwich City,Pierre-Emerick Aubameyang,33
Arsenal,32,Arsenal,Norwich City,Granit Xhaka,37
Arsenal,32,Arsenal,Norwich City,Pierre-Emerick Aubameyang,67
Arsenal,32,Arsenal,Norwich City,Cédric Soares,81
Wolves,32,Aston Villa,Wolves,Leander Dendoncker,62
Bournemouth,32,Bournemouth,Newcastle Utd,Dan Gosling,90+4
Newcastle Utd,32,Bournemouth,Newcastle Utd,Dwight Gayle,5
Newcastle Utd,32,Bournemouth,Newcastle Utd,Sean Longstaff,30
Newcastle Utd,32,Bournemouth,Newcastle Utd,Miguel Almirón,57
Newcastle Utd,32,Bournemouth,Newcastle Utd,Valentino Lazaro,77
Manchester Utd,32,Brighton,Manchester Utd,Mason Greenwood,16
Manchester Utd,32,Brighton,Manchester Utd,Bruno Fernandes,29
Manchester Utd,32,Brighton,Manchester Utd,Bruno Fernandes,50
Burnley,32,Crystal Palace,Burnley,Ben Mee,62
Everton,32,Everton,Leicester City,Richarlison,10
Everton,32,Everton,Leicester City,Gylfi Sigurðsson (P),16
Leicester City,32,Everton,Leicester City,Kelechi Iheanacho,51
Manchester City,32,Manchester City,Liverpool,Kevin De Bruyne (P),25
Manchester City,32,Manchester City,Liverpool,Raheem Sterling,35
Manchester City,32,Manchester City,Liverpool,Phil Foden,45
Manchester City,32,Manchester City,Liverpool,Alex Oxlade-Chamberlain (OG),66
Sheffield Utd,32,Sheffield Utd,Tottenham,Sander Berge,31
Sheffield Utd,32,Sheffield Utd,Tottenham,Lys Mousset,69
Sheffield Utd,32,Sheffield Utd,Tottenham,Oliver McBurnie,84
Tottenham,32,Sheffield Utd,Tottenham,Harry Kane,90
Watford,32,Watford,Southampton,Jan Bednarek (OG),79
Southampton,32,Watford,Southampton,Danny Ings,16
Southampton,32,Watford,Southampton,Danny Ings,70
Southampton,32,Watford,Southampton,James Ward-Prowse,82
West Ham,32,West Ham,Chelsea,Tomáš Souček,45+2
West Ham,32,West Ham,Chelsea,Michail Antonio,51
West Ham,32,West Ham,Chelsea,Andriy Yarmolenko,89
Chelsea,32,West Ham,Chelsea,Willian (P),42
Chelsea,32,West Ham,Chelsea,Willian,72
Burnley,33,Burnley,Sheffield Utd,James Tarkowski,43
Sheffield Utd,33,Burnley,Sheffield Utd,John Egan,80
Chelsea,33,Chelsea,Watford,Olivier Giroud,28
Chelsea,33,Chelsea,Watford,Willian (P),43
Chelsea,33,Chelsea,Watford,Ross Barkley,90+2
Leicester City,33,Leicester City,Crystal Palace,Kelechi Iheanacho,49
Leicester City,33,Leicester City,Crystal Palace,Jamie Vardy,77
Leicester City,33,Leicester City,Crystal Palace,Jamie Vardy,90+4
Liverpool,33,Liverpool,Aston Villa,Sadio Mané,71
Liverpool,33,Liverpool,Aston Villa,Curtis Jones,89
Manchester Utd,33,Manchester Utd,Bournemouth,Mason Greenwood,29
Manchester Utd,33,Manchester Utd,Bournemouth,Marcus Rashford (P),35
Manchester Utd,33,Manchester Utd,Bournemouth,Anthony Martial,45+2
Manchester Utd,33,Manchester Utd,Bournemouth,Mason Greenwood,54
Manchester Utd,33,Manchester Utd,Bournemouth,Bruno Fernandes,59
Bournemouth,33,Manchester Utd,Bournemouth,Junior Stanislas,15
Bournemouth,33,Manchester Utd,Bournemouth,Joshua King (P),49
Newcastle Utd,33,Newcastle Utd,West Ham,Miguel Almirón,17
Newcastle Utd,33,Newcastle Utd,West Ham,Jonjo Shelvey,67
West Ham,33,Newcastle Utd,West Ham,Michail Antonio,4
West Ham,33,Newcastle Utd,West Ham,Tomáš Souček,65
Brighton,33,Norwich City,Brighton,Leandro Trossard,25
Southampton,33,Southampton,Manchester City,Che Adams,16
Tottenham,33,Tottenham,Everton,Michael Keane (OG),24
Arsenal,33,Wolves,Arsenal,Bukayo Saka,43
Arsenal,33,Wolves,Arsenal,Alexandre Lacazette,86
Arsenal,34,Arsenal,Leicester City,Pierre-Emerick Aubameyang,21
Leicester City,34,Arsenal,Leicester City,Jamie Vardy,84
Manchester Utd,34,Aston Villa,Manchester Utd,Bruno Fernandes (P),27
Manchester Utd,34,Aston Villa,Manchester Utd,Mason Greenwood,45+5
Manchester Utd,34,Aston Villa,Manchester Utd,Paul Pogba,58
